,source_station_id,target_station_id,line,source_stop_code,target_stop_code,x_source,y_source,x_target,y_target,lon_source,lat_source,lon_target,lat_target
0,place-lech,place-spmnl,green,70500.0,70207.0,186.0660172,130.20815275,186.0660172,130.20815275,-71.076584,42.371572,-71.076584,42.371572
1,place-spmnl,place-north,green,70207.0,70026.0,193.137085,123.13708494,193.137085,123.13708494,-71.067666,42.366664,-71.067666,42.366664
2,place-north,place-haecl,green,70026.0,70024.0,200.2081528,116.06601713,200.2081528,116.06601713,-71.06129,42.365577,-71.06129,42.365577
3,place-haecl,place-gover,green,70024.0,70039.0,200.2081528,106.06601713,200.2081528,106.06601713,-71.05829,42.363021,-71.05829,42.363021
4,place-gover,place-pktrm,green,70039.0,70075.0,193.137085,98.99494932,193.137085,98.99494932,-71.059215,42.359705,-71.059215,42.359705
5,place-pktrm,place-boyls,green,70075.0,70158.0,186.0660172,91.92388151,186.0660172,91.92388151,-71.062424,42.356395,-71.062424,42.356395
6,place-boyls,place-armnl,green,70158.0,70156.0,176.0660172,91.92388151,176.0660172,91.92388151,-71.06459,42.35302,-71.06459,42.35302
7,place-armnl,place-coecl,green,70156.0,70154.0,166.0660172,91.92388151,166.0660172,91.92388151,-71.070893,42.351902,-71.070893,42.351902
8,place-coecl,place-prmnl,green-e,70154.0,70239.0,156.0660172,91.92388151,156.0660172,91.92388151,-71.077447,42.349974,-71.077447,42.349974
9,place-prmnl,place-symcl,green-e,70239.0,70241.0,148.9949494,84.85281368999999,148.9949494,84.85281368999999,-71.081696,42.34557,-71.081696,42.34557
10,place-symcl,place-nuniv,green-e,70241.0,70243.0,148.9949494,64.85281368999999,148.9949494,64.85281368999999,-71.085056,42.342687,-71.085056,42.342687
11,place-nuniv,place-mfa,green-e,70243.0,70245.0,141.92388160000002,57.78174587999999,141.92388160000002,57.78174587999999,-71.088806,42.340401,-71.088806,42.340401
12,place-mfa,place-lngmd,green-e,70245.0,70247.0,134.85281369999998,50.71067807,134.85281369999998,50.71067807,-71.095512,42.337711,-71.095512,42.337711
13,place-lngmd,place-brmnl,green-e,70247.0,70249.0,127.7817459,43.6396103,127.7817459,43.6396103,-71.100052,42.33596,-71.100052,42.33596
14,place-brmnl,place-fenwd,green-e,70249.0,70251.0,120.7106781,36.5685424,120.7106781,36.5685424,-71.104609,42.334229,-71.104609,42.334229
15,place-fenwd,place-mispk,green-e,70251.0,70253.0,113.6396103,29.497474599999997,113.6396103,29.497474599999997,-71.105728,42.333706,-71.105728,42.333706
16,place-mispk,place-rvrwy,green-e,70253.0,70255.0,106.5685425,22.42640679999999,106.5685425,22.42640679999999,-71.109756,42.333195,-71.109756,42.333195
17,place-rvrwy,place-bckhl,green-e,70255.0,70257.0,99.49747468,15.35533899999999,99.49747468,15.35533899999999,-71.111931,42.331684,-71.111931,42.331684
18,place-bckhl,place-hsmnl,green-e,70257.0,70260.0,92.42640687,8.284271199999989,92.42640687,8.284271199999989,-71.111313,42.330139,-71.111313,42.330139
19,place-coecl,place-hymnl,green,70154.0,70152.0,156.0660172,91.92388151,156.0660172,91.92388151,-71.077447,42.349974,-71.077447,42.349974
20,place-hymnl,place-kencl,green,70152.0,70150.0,146.0660172,91.92388151,146.0660172,91.92388151,-71.087903,42.347888,-71.087903,42.347888
21,place-kencl,place-fenwy,green-d,70150.0,70186.0,136.0660172,91.92388151,136.0660172,91.92388151,-71.095169,42.348949,-71.095169,42.348949
22,place-fenwy,place-longw,green-d,70186.0,70182.0,121.9238816,77.78174588,121.9238816,77.78174588,-71.104213,42.345403,-71.104213,42.345403
23,place-longw,place-bvmnl,green-d,70182.0,70180.0,114.85281369999998,70.71067807,114.85281369999998,70.71067807,-71.109956,42.341702,-71.109956,42.341702
24,place-bvmnl,place-brkhl,green-d,70180.0,70178.0,107.7817459,63.63961026,107.7817459,63.63961026,-71.116857,42.332608,-71.116857,42.332608
25,place-brkhl,place-bcnfd,green-d,70178.0,70176.0,100.7106781,56.56854245,100.7106781,56.56854245,-71.126683,42.331316,-71.126683,42.331316
26,place-bcnfd,place-rsmnl,green-d,70176.0,21917.0,93.63961031,49.49747463,93.63961031,49.49747463,-71.140455,42.335765,-71.140455,42.335765
27,place-rsmnl,place-chhil,green-d,21917.0,70172.0,86.56854249,42.4264068,86.56854249,42.4264068,-71.148758,42.335088,-71.148758,42.335088
28,place-chhil,place-newto,green-d,70172.0,70170.0,79.49747468,35.35533899999999,79.49747468,35.35533899999999,-71.164699,42.326753,-71.164699,42.326753
29,place-newto,place-newtn,green-d,70170.0,70168.0,72.42640687,28.28427119999999,72.42640687,28.28427119999999,-71.192414,42.329443,-71.192414,42.329443
30,place-newtn,place-eliot,green-d,70168.0,70166.0,65.35533906,21.213203399999987,65.35533906,21.213203399999987,-71.205509,42.322381,-71.205509,42.322381
31,place-eliot,place-waban,green-d,70166.0,70164.0,58.28427125,14.142135600000003,58.28427125,14.142135600000003,-71.216684,42.319045,-71.216684,42.319045
32,place-waban,place-woodl,green-d,70164.0,70162.0,51.21320344,7.071067800000002,51.21320344,7.071067800000002,-71.230609,42.325845,-71.230609,42.325845
33,place-woodl,place-river,green-d,70162.0,38155.0,44.142135620000005,0.0,44.142135620000005,0.0,-71.243362,42.332902,-71.243362,42.332902
34,place-kencl,place-smary,green-c,70150.0,70211.0,136.0660172,91.92388151,136.0660172,91.92388151,-71.095169,42.348949,-71.095169,42.348949
35,place-smary,place-hwsst,green-c,70211.0,70213.0,116.0660172,91.92388151,116.0660172,91.92388151,-71.107353,42.345974,-71.107353,42.345974
36,place-hwsst,place-kntst,green-c,70213.0,70215.0,108.9949494,98.99494932,108.9949494,98.99494932,-71.111145,42.344906,-71.111145,42.344906
37,place-kntst,place-stpul,green-c,70215.0,70217.0,101.9238816,106.06601713,101.9238816,106.06601713,-71.114197,42.344074,-71.114197,42.344074
38,place-stpul,place-cool,green-c,70217.0,70219.0,91.92388155,106.06601713,91.92388155,106.06601713,-71.116997,42.343327,-71.116997,42.343327
39,place-cool,place-sumav,green-c,70219.0,70223.0,84.85281373999999,98.99494932,84.85281373999999,98.99494932,-71.121263,42.342116,-71.121263,42.342116
40,place-sumav,place-bndhl,green-c,70223.0,70225.0,77.78174593,91.92388151,77.78174593,91.92388151,-71.12561,42.34111,-71.12561,42.34111
41,place-bndhl,place-fbkst,green-c,70225.0,70227.0,70.71067812,84.85281368999999,70.71067812,84.85281368999999,-71.129082,42.340023,-71.129082,42.340023
42,place-fbkst,place-bcnwa,green-c,70227.0,70229.0,63.63961031,77.78174588,63.63961031,77.78174588,-71.131073,42.339725,-71.131073,42.339725
43,place-bcnwa,place-tapst,green-c,70229.0,70231.0,56.56854249,70.71067807,56.56854249,70.71067807,-71.13533,42.339394,-71.13533,42.339394
44,place-tapst,place-denrd,green-c,70231.0,70233.0,49.49747468,63.63961026,49.49747468,63.63961026,-71.138702,42.338459,-71.138702,42.338459
45,place-denrd,place-engav,green-c,70233.0,70235.0,42.42640687,56.56854245,42.42640687,56.56854245,-71.141853,42.337807,-71.141853,42.337807
46,place-engav,place-clmnl,green-c,70235.0,70237.0,35.35533906,49.49747463,35.35533906,49.49747463,-71.14566,42.336971,-71.14566,42.336971
47,place-kencl,place-bland,green-b,70150.0,70148.0,136.0660172,91.92388151,136.0660172,91.92388151,-71.095169,42.348949,-71.095169,42.348949
48,place-bland,place-buest,green-b,70148.0,70146.0,128.9949494,98.99494932,128.9949494,98.99494932,-71.100258,42.349293,-71.100258,42.349293
49,place-buest,place-bucen,green-b,70146.0,70144.0,121.9238816,106.06601713,121.9238816,106.06601713,-71.103889,42.349735,-71.103889,42.349735
50,place-bucen,place-buwst,green-b,70144.0,,114.85281369999998,113.13708494,114.85281369999998,113.13708494,-71.106865,42.350082,-71.106865,42.350082
51,place-buwst,place-stplb,green-b,,,107.7817459,120.20815275,107.7817459,120.20815275,,,,
52,place-stplb,place-plsgr,green-b,,,100.7106781,127.27922056,100.7106781,127.27922056,,,,
53,place-plsgr,place-babck,green-b,,170136.0,93.63961031,134.35028838,93.63961031,134.35028838,,,,
54,place-babck,place-brico,green-b,170136.0,70134.0,86.56854249,141.421356188,86.56854249,141.421356188,-71.119924,42.351616,-71.119924,42.351616
55,place-brico,place-harvd,green-b,70134.0,70130.0,79.49747468,148.492424,79.49747468,148.492424,-71.125031,42.351967,-71.125031,42.351967
56,place-harvd,place-grigg,green-b,70130.0,70128.0,69.49747468,148.492424,69.49747468,148.492424,-71.131355,42.350243,-71.131355,42.350243
57,place-grigg,place-alsgr,green-b,70128.0,70126.0,59.49747468,148.492424,59.49747468,148.492424,-71.134949,42.348545,-71.134949,42.348545
58,place-alsgr,place-wrnst,green-b,70126.0,70124.0,52.42640687,141.421356188,52.42640687,141.421356188,-71.137955,42.348701,-71.137955,42.348701
59,place-wrnst,place-wascm,green-b,70124.0,70120.0,45.355339060000006,134.35028838,45.355339060000006,134.35028838,-71.140457,42.348343,-71.140457,42.348343
60,place-wascm,place-sthld,green-b,70120.0,70116.0,38.28427125,127.27922056,38.28427125,127.27922056,-71.142853,42.343864,-71.142853,42.343864
61,place-sthld,place-chswk,green-b,70116.0,70114.0,31.21320344,120.20815275,31.21320344,120.20815275,-71.146202,42.341614,-71.146202,42.341614
62,place-chswk,place-chill,green-b,70114.0,70112.0,24.14213562,113.13708494,24.14213562,113.13708494,-71.150711,42.340805,-71.150711,42.340805
63,place-chill,place-sougr,green-b,70112.0,70110.0,17.07106781,106.06601713,17.07106781,106.06601713,-71.15316,42.338169,-71.15316,42.338169
64,place-sougr,place-lake,green-b,70110.0,70106.0,10.0,98.99494932,10.0,98.99494932,-71.157661,42.3396,-71.157661,42.3396
0,place-andrw,place-brdwy,red,70500.0,70207.0,200.20815282,57.78174591999999,200.20815282,57.78174591999999,-71.057655,42.330154,-71.057655,42.330154
1,place-asmnl,place-smmnl,red,70207.0,70026.0,193.13708501,10.71067811999999,193.13708501,10.71067811999999,-71.063777,42.28452,-71.063777,42.28452
2,place-brdwy,place-sstat,red,70026.0,70024.0,200.20815282,67.78174587999999,200.20815282,67.78174587999999,-71.056967,42.342622,-71.056967,42.342622
3,place-brntn,place-qamnl,red,70024.0,70039.0,228.49242409,9.497474619999997,228.49242409,9.497474619999997,-71.001138,42.207854,-71.001138,42.207854
4,place-chmnl,place-knncl,red,70039.0,70075.0,178.99494938000004,98.99494932,178.99494938000004,98.99494932,-71.070628,42.361166,-71.070628,42.361166
5,place-cntsq,place-harsq,red,70075.0,70158.0,164.85281376000003,113.13708494,164.85281376000003,113.13708494,-71.103802,42.365486,-71.103802,42.365486
6,place-davis,place-alfcl,red,70158.0,70156.0,140.71067814000003,127.27922057,140.71067814000003,127.27922057,-71.121815,42.39674,-71.121815,42.39674
7,place-dwnxg,place-pktrm,red,70156.0,70154.0,193.13708501,84.85281369999998,193.13708501,84.85281369999998,-71.060225,42.355518,-71.060225,42.355518
8,place-fldcr,place-shmnl,red,70154.0,70239.0,193.13708501,30.71067811999999,193.13708501,30.71067811999999,-71.061667,42.300093,-71.061667,42.300093
9,place-harsq,place-portr,red,70239.0,70241.0,157.78174595000002,120.20815276,157.78174595000002,120.20815276,-71.118956,42.373362,-71.118956,42.373362
10,place-jfk,place-andrw,red,70241.0,70243.0,200.20815282,47.78174591999999,200.20815282,47.78174591999999,-71.052391,42.320685,-71.052391,42.320685
11,place-knncl,place-cntsq,red,70243.0,70245.0,171.92388157000005,106.06601713,171.92388157000005,106.06601713,-71.086176,42.362491,-71.086176,42.362491
12,place-nqncy,place-jfk,red,70245.0,70247.0,207.27922063,40.71067811999999,207.27922063,40.71067811999999,-71.029583,42.275275,-71.029583,42.275275
13,place-pktrm,place-chmnl,red,70247.0,70249.0,186.0660172,91.92388151,186.0660172,91.92388151,-71.062424,42.356395,-71.062424,42.356395
14,place-portr,place-davis,red,70249.0,70251.0,150.71067814000003,127.27922057,150.71067814000003,127.27922057,-71.119149,42.3884,-71.119149,42.3884
15,place-qamnl,place-qnctr,red,70251.0,70253.0,228.49242409,19.497474619999995,228.49242409,19.497474619999995,-71.007153,42.233391,-71.007153,42.233391
16,place-qnctr,place-wlsta,red,70253.0,70255.0,221.42135626,26.56854242,221.42135626,26.56854242,-71.005409,42.251809,-71.005409,42.251809
17,place-shmnl,place-jfk,red,70255.0,70257.0,193.13708501,40.71067811999999,193.13708501,40.71067811999999,-71.053331,42.31129,-71.053331,42.31129
18,place-smmnl,place-fldcr,red,70257.0,70260.0,193.13708501,20.71067811999999,193.13708501,20.71067811999999,-71.065738,42.293126,-71.065738,42.293126
19,place-sstat,place-dwnxg,red,70154.0,70152.0,200.20815282,77.78174587999999,200.20815282,77.78174587999999,-71.055242,42.352271,-71.055242,42.352271
20,place-wlsta,place-nqncy,red,70152.0,70150.0,214.35028844,33.639610219999994,214.35028844,33.639610219999994,-71.020337,42.266514,-71.020337,42.266514
21,place-bbsta,place-tumnl,orange,70150.0,70186.0,171.92388157000005,63.63961026,171.92388157000005,63.63961026,-71.075727,42.34735,-71.075727,42.34735
22,place-ccmnl,place-sull,orange,70186.0,70182.0,207.27922063,118.99494932,207.27922063,118.99494932,-71.069533,42.373622,-71.069533,42.373622
23,place-chncl,place-dwnxg,orange,70182.0,70180.0,186.0660172,77.78174587999999,186.0660172,77.78174587999999,-71.062752,42.352547,-71.062752,42.352547
24,place-dwnxg,place-state,orange,70180.0,70178.0,193.13708501,84.85281369999998,193.13708501,84.85281369999998,-71.060225,42.355518,-71.060225,42.355518
25,place-forhl,place-grnst,orange,70178.0,70176.0,122.42640689,14.142135620000005,122.42640689,14.142135620000005,-71.113943,42.300713,-71.113943,42.300713
26,place-grnst,place-sbmnl,orange,70176.0,21917.0,129.49747470200003,21.21320341999999,129.49747470200003,21.21320341999999,-71.107414,42.310525,-71.107414,42.310525
27,place-haecl,place-north,orange,21917.0,70172.0,200.2081528,106.06601713,200.2081528,106.06601713,-71.05829,42.363021,-71.05829,42.363021
28,place-jaksn,place-rcmnl,orange,70172.0,70170.0,143.63961033000004,35.35533901999999,143.63961033000004,35.35533901999999,-71.099592,42.323132,-71.099592,42.323132
29,place-masta,place-bbsta,orange,70170.0,70168.0,164.85281376000003,56.56854242,164.85281376000003,56.56854242,-71.083423,42.341512,-71.083423,42.341512
30,place-mlmnl,place-ogmnl,orange,70168.0,70166.0,207.27922063,148.99494932,207.27922063,148.99494932,-71.07411,42.426632,-71.07411,42.426632
31,place-north,place-ccmnl,orange,70166.0,70164.0,200.2081528,116.06601713,200.2081528,116.06601713,-71.06129,42.365577,-71.06129,42.365577
32,place-rcmnl,place-rugg,orange,70164.0,70162.0,150.71067814000003,42.42640682,150.71067814000003,42.42640682,-71.095451,42.331397,-71.095451,42.331397
33,place-rugg,place-masta,orange,70162.0,38155.0,157.78174595000002,49.49747461999999,157.78174595000002,49.49747461999999,-71.088961,42.336377,-71.088961,42.336377
34,place-sbmnl,place-jaksn,orange,70150.0,70211.0,136.56854251,28.28427121999999,136.56854251,28.28427121999999,-71.104248,42.317062,-71.104248,42.317062
35,place-state,place-haecl,orange,70211.0,70213.0,200.20815282,91.92388151,200.20815282,91.92388151,-71.057598,42.358978,-71.057598,42.358978
36,place-sull,place-welln,orange,70213.0,70215.0,207.27922063,128.99494932,207.27922063,128.99494932,-71.076994,42.383975,-71.076994,42.383975
37,place-tumnl,place-chncl,orange,70215.0,70217.0,178.99494938000004,70.71067807,178.99494938000004,70.71067807,-71.063917,42.349662,-71.063917,42.349662
38,place-welln,place-mlmnl,orange,70217.0,70219.0,207.27922063,138.99494932,207.27922063,138.99494932,-71.077082,42.40237,-71.077082,42.40237
39,place-aport,place-wimnl,blue,70219.0,70223.0,224.35028849000005,91.92388151,224.35028849000005,91.92388151,-71.030395,42.374262,-71.030395,42.374262
40,place-aqucl,place-mvbcl,blue,70223.0,70225.0,207.27922063,84.85281369999998,207.27922063,84.85281369999998,-71.051652,42.359784,-71.051652,42.359784
41,place-bmmnl,place-rbmnl,blue,70225.0,70227.0,252.63455969000003,120.20815276,252.63455969000003,120.20815276,-70.992319,42.397542,-70.992319,42.397542
42,place-bomnl,place-gover,blue,70227.0,70229.0,186.0660172,106.06601713,186.0660172,106.06601713,-71.062037,42.361365,-71.062037,42.361365
43,place-gover,place-state,blue,70229.0,70231.0,193.137085,98.99494932,193.137085,98.99494932,-71.059215,42.359705,-71.059215,42.359705
44,place-mvbcl,place-aport,blue,70231.0,70233.0,217.27922063,84.85281369999998,217.27922063,84.85281369999998,-71.03953,42.369119,-71.03953,42.369119
45,place-orhte,place-sdmnl,blue,70233.0,70235.0,238.49242409,106.06601713,238.49242409,106.06601713,-71.004736,42.386867,-71.004736,42.386867
46,place-rbmnl,place-wondl,blue,70235.0,70237.0,259.70562749000004,127.27922057,259.70562749000004,127.27922057,-70.992533,42.407843,-70.992533,42.407843
47,place-sdmnl,place-bmmnl,blue,70150.0,70148.0,245.56349189,113.13708494,245.56349189,113.13708494,-70.997123,42.390501,-70.997123,42.390501
48,place-state,place-aqucl,blue,70148.0,70146.0,200.20815282,91.92388151,200.20815282,91.92388151,-71.057598,42.358978,-71.057598,42.358978
49,place-wimnl,place-orhte,blue,70146.0,70144.0,231.42135629,98.99494932,231.42135629,98.99494932,-71.022865,42.37964,-71.022865,42.37964
0,place-lech,place-unsqu,,70500.0,70207.0,186.0660172,130.20815275,186.0660172,130.20815275,-71.076584,42.371572,-71.076584,42.371572
1,place-lech,place-esomr,,70207.0,70026.0,186.0660172,130.20815275,186.0660172,130.20815275,-71.076584,42.371572,-71.076584,42.371572
2,place-esomr,place-gilmn,,70026.0,70024.0,178.9949494,137.27922056000003,178.9949494,137.27922056000003,-71.086625,42.379467,-71.086625,42.379467
3,place-gilmn,place-mgngl,,70024.0,70039.0,171.9238816,144.35028837000004,171.9238816,144.35028837000004,-71.096766,42.387928,-71.096766,42.387928
4,place-mgngl,place-balsq,,70039.0,70075.0,164.85281379999998,151.42135618000006,164.85281379999998,151.42135618000006,-71.106388,42.393682,-71.106388,42.393682
5,place-balsq,place-mdftf,,70075.0,70158.0,157.78174599999997,158.49242399000008,157.78174599999997,158.49242399000008,-71.111003,42.399889,-71.111003,42.399889
