,x,y
place-lech,18.60660172,1.8284271250000002
place-spmnl,19.3137085,2.535533906
place-north,20.02081528,3.242640687
place-haecl,20.02081528,4.242640687
place-gover,19.3137085,4.949747468
place-pktrm,18.60660172,5.656854249
place-boyls,17.60660172,5.656854249
place-armnl,16.60660172,5.656854249
place-coecl,15.60660172,5.656854249
place-prmnl,14.89949494,6.363961031
place-symcl,14.89949494,8.363961031
place-nuniv,14.19238816,9.071067812
place-mfa,13.48528137,9.778174593
place-lngmd,12.77817459,10.48528137
place-brmnl,12.07106781,11.19238816
place-fenwd,11.36396103,11.89949494
place-mispk,10.65685425,12.60660172
place-rvrwy,9.949747468,13.3137085
place-bckhl,9.242640687,14.02081528
place-hsmnl,8.535533906,14.727922060000001
place-hymnl,14.60660172,5.656854249
place-kencl,13.60660172,5.656854249
place-fenwy,12.19238816,7.071067812
place-longw,11.48528137,7.778174593
place-bvmnl,10.77817459,8.485281374
place-brkhl,10.07106781,9.192388155
place-bcnfd,9.363961031,9.899494937
place-rsmnl,8.656854249,10.60660172
place-chhil,7.949747468,11.3137085
place-newto,7.242640687,12.02081528
place-newtn,6.535533906,12.727922060000001
place-eliot,5.828427125,13.43502884
place-waban,5.121320344,14.14213562
place-woodl,4.4142135620000005,14.8492424
place-river,3.414213562,14.8492424
place-smary,11.60660172,5.656854249
place-hwsst,10.89949494,4.949747468
place-kntst,10.19238816,4.242640687
place-stpul,9.192388155,4.242640687
place-cool,8.485281374,4.949747468
place-sumav,7.778174593,5.656854249
place-bndhl,7.071067812,6.363961031
place-fbkst,6.363961031,7.071067812
place-bcnwa,5.656854249,7.778174593
place-tapst,4.949747468,8.485281374
place-denrd,4.242640687,9.192388155
place-engav,3.535533906,9.899494937
place-clmnl,2.535533906,9.899494937
place-bland,12.89949494,4.949747468
place-buest,12.19238816,4.242640687
place-bucen,11.48528137,3.535533906
place-buwst,10.77817459,2.828427125
place-stplb,10.07106781,2.121320344
place-plsgr,9.363961031,1.414213562
place-babck,8.656854249,0.7071067812
place-brico,7.949747468,0.0
place-harvd,6.949747468,0.0
place-grigg,5.949747468,0.0
place-alsgr,5.242640687,0.7071067812
place-wrnst,4.535533906,1.414213562
place-wascm,3.828427125,2.121320344
place-sthld,3.121320344,2.828427125
place-chswk,2.414213562,3.535533906
place-chill,1.707106781,4.242640687
place-sougr,1.0,4.949747468
place-lake,0.0,4.949747468
place-asmnl,19.313708501,13.778174588
place-smmnl,19.313708501,12.778174588
place-fldcr,19.313708501,11.778174588
place-shmnl,19.313708501,10.778174588
place-jfk,20.020815282,10.071067808
place-andrw,20.020815282,9.071067808
place-brdwy,20.020815282,8.071067812
place-sstat,20.020815282,7.071067812000001
place-dwnxg,19.313708501,6.3639610300000005
place-pktrm,18.60660172,5.656854249
place-chmnl,17.899494938000004,4.949747468
place-knncl,17.192388157000003,4.242640687
place-cntsq,16.485281376000003,3.5355339060000004
place-harsq,15.778174595000001,2.828427124
place-portr,15.071067814000003,2.121320343
place-davis,14.071067814000003,2.121320343
place-alfcl,13.071067813700001,2.121320343
place-nqncy,20.727922063,10.778174588
place-wlsta,21.435028844,11.485281378
place-qnctr,22.142135626,12.192388158
place-qamnl,22.849242409000002,12.899494938
place-brntn,22.849242409000002,13.899494938
place-wondl,26.677669529,1.414213562
place-rbmnl,25.970562749000003,2.121320343
place-bmmnl,25.263455969000002,2.828427124
place-sdmnl,24.556349189000002,3.5355339060000004
place-orhte,23.849242409000002,4.242640687
place-wimnl,23.142135629000002,4.949747468
place-aport,22.435028849000002,5.656854249
place-mvbcl,21.727922063,6.3639610300000005
place-aqucl,20.727922063,6.3639610300000005
place-gover,19.313708501,4.949747468
place-bomnl,18.60660172,4.242640687
place-forhl,12.242640689000002,13.435028838
place-grnst,12.949747470200002,12.727922058
place-sbmnl,13.656854251000002,12.020815278
place-jaksn,14.363961033000002,11.313708498
place-rcmnl,15.071067814000003,10.606601718
place-rugg,15.778174595000001,9.899494938
place-masta,16.485281376000003,9.192388158
place-bbsta,17.192388157000003,8.485281374
place-tumnl,17.899494938000004,7.778174592999999
place-chncl,18.60660172,7.071067812000001
place-state,20.020815282,5.656854249
place-haecl,20.727922063,4.949747468
place-north,20.727922063,3.949747468
place-ccmnl,20.727922063,2.949747468
place-sull,20.727922063,1.949747468
place-welln,20.727922063,0.949747468
place-mlmnl,20.727922063,-0.050252532000000016
place-ogmnl,20.727922063,-1.050252532
