"nodes__id","nodes__name","links__source","links__target","links__line","links__color"
"place-knncl","Kendall/MIT Station","5","6","red","E12D27"
"place-asmnl","Ashmont Station","1","11","red","E12D27"
"place-fldcr","Fields Corner Station","6","7","red","E12D27"
"place-shmnl","Savin Hill Station","21","20","red","E12D27"
"place-jfk","JFK/UMass Station","10","0","red","E12D27"
"place-andrw","Andrew Station","12","13","red","E12D27"
"place-brdwy","Broadway Station","15","16","red","E12D27"
"place-sstat","South Station","8","9","red","E12D27"
"place-dwnxg","Downtown Crossing Station","2","3","red","E12D27"
"place-pktrm","Park St. Station","13","14","red","E12D27"
"place-chmnl","Charles/MGH Station","4","5","red","E12D27"
"place-smmnl","Shawmut Station","0","12","red","E12D27"
"place-cntsq","Central Square Station","17","4","red","E12D27"
"place-harsq","Harvard Square Station","9","10","red","E12D27"
"place-portr","Porter Square Station","14","15","red","E12D27"
"place-davis","Davis Station","20","19","red","E12D27"
"place-alfcl","Alewife Station","19","18","red","E12D27"
"place-nqncy","North Quincy Station","3","4","red","E12D27"
"place-wlsta","Wollaston Station","11","2","red","E12D27"
"place-qnctr","Quincy Center Station","7","8","red","E12D27"
"place-qamnl","Quincy Adams Station","18","17","red","E12D27"
"place-brntn","Braintree Station","29","30","orange","E87200"
"place-chncl","Chinatown Station","35","36","orange","E87200"
"place-forhl","Forest Hills Station","22","8","orange","E87200"
"place-sbmnl","Stony Brook Station","8","32","orange","E87200"
"place-jaksn","Jackson Square Station","23","31","orange","E87200"
"place-rcmnl","Roxbury Crossing Station","31","24","orange","E87200"
"place-rugg","Ruggles Station","33","34","orange","E87200"
"place-masta","Massachusetts Ave. Station","25","26","orange","E87200"
"place-bbsta","Back Bay Station","28","29","orange","E87200"
"place-tumnl","Tufts Medical Center Station","38","39","orange","E87200"
"place-grnst","Green St. Station","34","35","orange","E87200"
"place-state","State St. Station","26","27","orange","E87200"
"place-haecl","Haymarket Station","27","28","orange","E87200"
"place-north","North Station","24","25","orange","E87200"
"place-ccmnl","Community College Station","32","33","orange","E87200"
"place-sull","Sullivan Station","36","37","orange","E87200"
"place-welln","Wellington Station","30","22","orange","E87200"
"place-mlmnl","Malden Center Station","37","38","orange","E87200"
"place-ogmnl","Oak Grove Station","40","45","blue","2F5DA6"
"place-aport","Airport Station","48","47","blue","2F5DA6"
"place-wondl","Wonderland Station","42","46","blue","2F5DA6"
"place-bmmnl","Beachmont Station","50","49","blue","2F5DA6"
"place-sdmnl","Suffolk Downs Station","49","32","blue","2F5DA6"
"place-orhte","Orient Heights Station","47","40","blue","2F5DA6"
"place-wimnl","Wood Island Station","44","43","blue","2F5DA6"
"place-rbmnl","Revere Beach Station","46","41","blue","2F5DA6"
"place-mvbcl","Maverick Station","43","42","blue","2F5DA6"
"place-aqucl","Aquarium Station","32","48","blue","2F5DA6"
"place-gover","Government Center Station","45","44","blue","2F5DA6"
"place-bomnl","Bowdoin Station","","","",""
